Coefficients:
       Estimate   StdError TestStat       Pvalue
V1  -0.02701580 4.0748e-02   -0.663 5.073363e-01
V2   0.04635244 5.0297e-03    9.216 0.000000e+00
V3  -0.00042617 5.9817e-05   -7.125 1.043832e-12
V4   0.02656340 5.7676e-02    0.461 6.451145e-01
V5   0.01301008 9.6977e-03    1.342 1.797389e-01
V6  -0.00015779 1.0561e-04   -1.494 1.351446e-01
V7   0.03365245 6.4129e-02    0.525 5.997509e-01
V8   0.05833361 4.9961e-02    1.168 2.429793e-01
V9   0.13029036 7.7026e-02    1.692 9.073905e-02
V10  0.25758600 1.1780e-01    2.187 2.877342e-02
V11 -0.02027483 6.2786e-02   -0.323 7.467577e-01
V12  0.20266497 7.9489e-02    2.550 1.078453e-02
V13 -0.20130352 1.8656e-01   -1.079 2.805822e-01
V14  0.08880933 7.9084e-02    1.123 2.614508e-01
V15  0.16425463 8.8081e-02    1.865 6.220825e-02
V16  0.16384882 8.0223e-02    2.042 4.111120e-02
V17  0.08960690 1.6169e-01    0.554 5.794456e-01
V18  0.06827752 1.3922e-01    0.490 6.238248e-01
V19  0.15860534 1.3630e-01    1.164 2.445670e-01
V20 -0.02280803 6.7301e-02   -0.339 7.346878e-01
V21  0.37791680 8.4394e-02    4.478 7.534846e-06
V22  0.14397612 7.5104e-02    1.917 5.523645e-02
V23  0.16045593 6.5480e-02    2.450 1.426765e-02
V24  0.24810460 7.8532e-02    3.159 1.581574e-03
V25  0.12324861 1.9259e-01    0.640 5.222026e-01
V26  0.21219690 1.0214e-01    2.077 3.775998e-02
V27  0.12946555 6.8595e-02    1.887 5.910664e-02
V28  0.20310135 7.6856e-02    2.643 8.226576e-03
