"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"
"1"	1	14	196	2744	0	0	0	1	0	0	0	0	0	1	26	676	0	0	1	0
"2"	0	6	36	216	1	0	0	0	0	0	0	0	0	1	26	676	0	0	1	0
"3"	0	3	9	27	0	0	0	0	0	0	0	0	0	1	26	676	0	0	1	0
"4"	1	8	64	512	0	0	0	0	0	0	1	0	0	1	35	1225	0	0	1	0
"5"	1	10	100	1000	0	0	1	0	0	0	0	0	1	1	56	3136	0	1	0	0
"6"	0	7	49	343	0	0	0	0	0	0	0	0	0	1	24	576	0	0	0	0
"7"	0	1	1	1	0	0	0	0	0	0	0	0	0	1	58	3364	0	1	0	0
"8"	0	1	1	1	0	0	0	0	0	0	0	0	0	1	58	3364	0	1	0	0
"9"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	3249	0	1	0	0
"10"	1	5	25	125	0	0	1	0	0	0	0	0	0	1	30	900	0	0	1	0
"11"	0	2	4	8	0	0	1	0	0	0	0	0	0	1	30	900	0	0	1	0
"12"	1	15	225	3375	0	0	0	1	0	0	1	0	0	1	27	729	0	1	0	0
"13"	1	5	25	125	0	0	0	0	0	0	1	0	0	1	30	900	0	1	0	0
"14"	0	7	49	343	0	0	0	0	0	0	1	0	0	1	30	900	0	1	0	0
"15"	1	2	4	8	1	0	0	0	0	0	1	0	0	1	30	900	0	1	0	0
"16"	0	10	100	1000	0	0	0	1	0	0	0	0	0	1	18	324	0	1	0	0
"17"	1	8	64	512	0	0	1	0	0	0	0	0	1	1	28	784	0	1	0	0
"18"	1	2	4	8	0	0	1	0	0	1	0	0	1	1	28	784	0	1	0	0
"19"	1	8	64	512	1	0	1	0	0	0	0	1	0	1	35	1225	0	1	0	0
"20"	0	13	169	2197	0	0	1	0	0	1	0	1	0	1	35	1225	0	1	0	0
"21"	0	6	36	216	1	0	0	1	0	0	0	1	0	1	28	784	0	1	0	0
"22"	1	13	169	2197	0	0	0	1	0	0	1	1	0	1	28	784	0	1	0	0
"23"	1	10	100	1000	0	0	0	1	0	0	0	1	0	1	28	784	0	1	0	0
"24"	1	6	36	216	0	0	0	1	0	0	0	0	1	0	16	256	0	0	0	0
"25"	0	5	25	125	0	0	0	1	0	0	0	0	1	0	16	256	0	0	0	0
"26"	1	14	196	2744	0	0	0	1	0	0	0	0	1	0	19	361	0	0	0	0
"27"	1	0	0	0	1	0	0	0	0	0	0	0	0	1	25	625	0	1	0	0
"28"	1	5	25	125	0	0	1	0	0	0	1	0	0	1	25	625	0	1	0	0
"29"	1	15	225	3375	1	0	1	0	0	0	0	0	0	0	40	1600	0	1	0	0
"30"	1	5	25	125	0	0	1	0	0	0	0	0	0	0	40	1600	0	1	0	0
"31"	0	2	4	8	1	0	1	0	0	0	0	0	0	0	40	1600	0	1	0	0
"32"	1	9	81	729	0	0	1	0	0	0	0	0	0	0	40	1600	0	1	0	0
"33"	1	0	0	0	1	0	0	0	0	1	0	0	1	1	41	1681	0	1	0	0
"34"	1	8	64	512	0	0	0	1	1	0	0	0	1	1	26	676	0	0	1	0
"35"	0	2	4	8	0	0	0	0	0	0	0	0	1	1	26	676	0	0	1	0
"36"	0	12	144	1728	0	0	0	0	0	0	0	0	1	1	26	676	0	0	1	0
"37"	0	14	196	2744	0	0	0	0	0	1	1	0	0	0	36	1296	0	0	0	0
"38"	1	15	225	3375	0	0	1	0	0	0	1	0	0	0	36	1296	0	0	0	0
"39"	0	12	144	1728	1	0	1	0	0	0	1	0	0	0	36	1296	0	0	0	0
"40"	0	3	9	27	0	0	0	0	0	0	1	0	0	0	36	1296	0	0	0	0
"41"	1	11	121	1331	0	0	0	0	0	1	1	0	0	0	36	1296	0	0	0	0
"42"	1	4	16	64	0	0	1	0	0	1	0	0	0	0	20	400	0	1	0	0
"43"	1	14	196	2744	0	0	0	1	0	0	0	0	0	0	20	400	0	1	0	0
"44"	0	4	16	64	0	0	0	0	0	0	0	0	0	0	80	6400	0	0	0	0
"45"	0	14	196	2744	0	0	1	0	0	0	0	0	0	1	36	1296	0	0	0	0
"46"	0	8	64	512	0	0	1	0	0	0	0	0	0	1	36	1296	0	0	0	0
"47"	1	6	36	216	0	0	1	0	0	0	0	0	0	1	36	1296	0	0	0	0
"48"	1	13	169	2197	0	0	0	0	0	0	0	0	0	0	73	5329	0	0	0	0
"49"	1	10	100	1000	0	0	0	0	0	0	0	0	0	0	73	5329	0	0	0	0
"50"	0	11	121	1331	0	0	0	1	0	0	0	0	0	0	18	324	0	0	0	0
"51"	1	11	121	1331	0	0	0	0	0	0	0	0	0	1	39	1521	0	1	0	0
"52"	0	12	144	1728	0	0	1	0	0	0	0	0	1	0	39	1521	0	0	0	0
"53"	0	14	196	2744	0	0	1	0	1	0	0	0	1	0	39	1521	0	0	0	0
"54"	0	2	4	8	0	0	1	0	0	0	0	0	1	0	39	1521	0	0	0	0
"55"	1	11	121	1331	0	0	1	0	0	0	0	0	0	0	38	1444	0	0	0	0
"56"	0	15	225	3375	0	0	0	1	0	0	0	0	0	0	18	324	0	0	0	0
"57"	0	10	100	1000	0	0	0	1	0	0	0	0	0	1	17	289	0	0	0	0
"58"	0	6	36	216	0	0	1	0	0	0	0	0	0	1	38	1444	0	0	1	0
"59"	1	12	144	1728	0	0	1	0	0	1	0	0	0	1	38	1444	0	0	1	0
"60"	0	10	100	1000	0	0	0	0	0	0	0	0	0	1	21	441	0	1	0	0
"61"	1	11	121	1331	0	0	1	0	0	0	0	0	0	0	44	1936	0	1	0	0
"62"	0	5	25	125	1	0	0	0	0	1	0	0	0	1	60	3600	0	1	0	0
"63"	1	10	100	1000	0	0	0	0	0	0	0	0	0	1	60	3600	0	1	0	0
"64"	1	3	9	27	0	0	1	0	0	1	0	1	0	0	22	484	0	1	0	0
"65"	1	1	1	1	0	0	1	0	0	0	0	1	0	0	22	484	0	1	0	0
"66"	1	5	25	125	1	0	0	0	0	1	0	0	0	0	76	5776	0	0	0	0
"67"	1	12	144	1728	0	0	0	0	0	1	0	0	0	0	76	5776	0	0	0	0
"68"	1	14	196	2744	1	0	0	0	0	0	0	0	0	0	76	5776	0	0	0	0
"69"	1	9	81	729	0	0	0	0	0	0	1	0	0	0	21	441	0	1	0	0
"70"	1	1	1	1	0	0	0	0	0	0	0	0	0	0	21	441	0	1	0	0
"71"	0	11	121	1331	1	0	0	0	0	0	1	0	0	0	21	441	0	1	0	0
"72"	0	7	49	343	0	0	0	0	0	0	1	0	0	0	21	441	0	1	0	0
"73"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	21	441	0	1	0	0
"74"	0	8	64	512	0	0	0	0	0	0	0	0	1	1	26	676	0	0	0	0
